GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
atlas-richie-component-cache,com.richie.component.cache.commons,CacheKeyUtils,0,30,0,4,0,8,0,5,0,3
atlas-richie-component-cache,com.richie.component.cache.ops,L2SyncHelper,15,106,10,18,4,29,8,16,0,10
atlas-richie-component-cache,com.richie.component.cache.redis.migration,MigrationWindows,33,107,3,15,11,26,3,8,0,2
atlas-richie-component-cache,com.richie.component.cache.redis.migration,MigrationViolation,1,97,1,1,1,14,1,3,0,3
atlas-richie-component-cache,com.richie.component.cache.redis.migration,MigrationWindowValidator,4,47,1,5,2,12,2,4,1,2
atlas-richie-component-cache,com.richie.component.cache.redis.perf,RedisComplexityTier,0,33,0,0,0,6,0,1,0,1
atlas-richie-component-cache,com.richie.component.cache.redis.perf,RedisCommandMeta,11,68,0,0,1,5,1,5,1,5
atlas-richie-component-cache,com.richie.component.cache.redis.perf,RedisPerfGuard,109,335,25,35,20,70,27,19,2,13
atlas-richie-component-cache,com.richie.component.cache.redis.perf,RedisStringPayloadInspector,9,224,19,45,3,37,18,18,0,4
atlas-richie-component-cache,com.richie.component.cache.redis.perf,RedisStringPayloadInspector.Severity,0,21,0,0,0,4,0,1,0,1
atlas-richie-component-cache,com.richie.component.cache.redis.perf,RedisOperationCatalog,0,139,0,0,0,26,0,1,0,1
atlas-richie-component-cache,com.richie.component.cache.redis.perf,RedisStringPayloadInspector.Inspection,0,15,0,0,0,2,0,2,0,2
atlas-richie-component-cache,com.richie.component.cache.ops.impl,StructOpsImpl,0,115,0,0,0,16,0,12,0,12
atlas-richie-component-cache,com.richie.component.cache.ops.impl,LockOpsImpl,6,80,0,4,1,15,1,8,1,6
atlas-richie-component-cache,com.richie.component.cache.ops.impl,CollectionOpsImpl,19,145,1,5,2,25,1,15,0,13
atlas-richie-component-cache,com.richie.component.cache.ops.impl,RankingOpsImpl,19,129,1,3,2,28,1,16,0,15
atlas-richie-component-cache,com.richie.component.cache.ops.impl,FieldOpsImpl,0,173,0,0,0,26,0,19,0,19
atlas-richie-component-cache,com.richie.component.cache.ops.impl,BitmapOpsImpl,0,13,0,0,0,3,0,2,0,2
atlas-richie-component-cache,com.richie.component.cache.ops.impl,HyperLogOpsImpl,0,11,0,0,0,3,0,2,0,2
atlas-richie-component-cache,com.richie.component.cache.ops.impl,NotificationOpsImpl,0,6,0,0,0,1,0,1,0,1
atlas-richie-component-cache,com.richie.component.cache.ops.impl,GeoOpsImpl,8,15,0,0,1,3,1,2,1,2
atlas-richie-component-cache,com.richie.component.cache.ops.impl,EventOpsImpl,0,6,0,0,0,2,0,1,0,1
atlas-richie-component-cache,com.richie.component.cache.ops.impl,ValueOpsImpl,194,466,19,5,30,82,21,39,10,38
atlas-richie-component-cache,com.richie.component.cache.operations,ZSetCapacityLimits,0,16,0,4,0,2,0,4,0,2
atlas-richie-component-cache,com.richie.component.cache.operations,BoundedListRedisScripts,181,0,11,0,21,0,12,0,5,0
atlas-richie-component-cache,com.richie.component.cache.operations,SetCapacityLimits,0,16,0,4,0,2,0,4,0,2
atlas-richie-component-cache,com.richie.component.cache.operations,BoundedListElementConverter.ConvertOutcome,0,33,0,2,0,4,0,5,0,4
atlas-richie-component-cache,com.richie.component.cache.operations,BoundedListElementConverter,6,171,4,14,1,32,4,9,0,4
atlas-richie-component-cache,com.richie.component.cache.operations,BoundedListCapacityLimits,11,170,4,14,4,29,4,12,0,7
